NazwaPodmiotu;Nip;Przeważająca działalność gospodarcza
ZAKŁAD USŁUGOWO-HANDLOWY AUTO-BOX;6111185017;
EURO 90 TRAVEL;6110112890;
INDYWIDUALNA SPECJALISTYCZNA PRAKTYKA LEKARSKA;6112496311;
KAWIARNIA SONATA;6112309088;
PRZEDSIĘBIORSTWO USŁUGOWO-HANDLOWE ZIBI;6112111506;
LIGOSZ;6110104577;
HANDEL - MARKETING;5211011670;
Ciesielstwo - Dekarstwo;6112543364;
ZAKŁAD USŁUGOWO - BUDOWLANY;6111440515;
TAXI OSOBOWE;6111655641;
CLEAN EXPERT - USŁUGI PORZĄDKOWE;6131523575;
CLEAN LINES;6112820964;
Clean Quality;6112205207;
CM;9141536960;
CMS CONSULTING;6110001156;
CNCTec;6112419782;
COCACABANA;6111161815;
CoDelivery;6112786440;
CODEPIK;6112810345;
COKBUD;6112228332;
COLORLOVE WŁOSY -;8531479560;
COMFORT LUX;6112813987;
COMPLET;7821421700;
COMPOSITECH;6111549413;
COMPUTEROWIEC -;6112260347;
CONSI.ART;6112242349;
CONSULTING - PROJECT;6111058483;
CONTADOR;8942475629;
CORFARB;6111589252;
CRAZY FIT;6151888647;
CREATIVE IDEAS;6111897806;
CREDIT;6112472339;
CRIMSON BRICK;7343372288;
Crujiente;6112560405;
CUBE;6112523858;
CUD MIÓD MALINA - SALON URODY;6112539552;
CUD muzykoterapii;6111300518;
CUK UBEZPIECZENIA;6111093083;
CUKIERNIA JULA;6112228444;
CUKIERNIA MERKURY;6111760533;
cukru.coffee;6951451001;
OPTYKA OKULAROWA CURYŁO;6111154169;
CX GROUP;8291167481;
POŚREDNICTWO UBEZPIECZENIOWE;6111590930;
ASEKO - USŁUGI EKOLOGICZNE;6111078646;
SAT SYSTEMS;6110000820;
ROBEX-FRUITS;6111043808;
LILI;7321839218;
CAYYAR;6111603644;
PRZEDSIĘBIORSTWO HANDLOWO-USŁUGOWE TEKST DRUK;6111041933;
INDYWIDUALNA PRAKTYKA LEKARSKA WOJCIECH BOŻYDAR CZERNIAWSKI;6112305802;
ITAL-POLSKA IMPORT-EXPORT;6111629000;
NOWA PAMELA PRZEDSIĘBIORSTWO HANDLOWE;6111018354;
CZERWONA WALIZKA;6612089589;
USŁUGI-MAR;6111609397;
CZĘŚCI - USA. COM.PL;6112256185;
CZ-PL;6941553094;
CZYSTE ZĘBY;6112056859;
AUTO CZĘŚCI;6111043607;
KANCELARIA RADCY PRAWNEGO;6111730288;
GABINET LEKARSKI;6111408285;
D&C Electric;6112804913;
D&C PROJEKT;6112806042;
D&E PARTNER;6112809595;
D&L SERVICE;6112797030;
D&S Studio Obrazu;8391794906;
DACH-POL;6112656996;
DACHY -;6112803150;
DACHY OK;6112502862;
Dagles;6131444516;
DAG-MAR;6111581316;
DALCO;6112380577;
DAL-PACK;6112722836;
DAM - WIS;6111245541;
DANIEL`S;6111301274;
DAN-MAT;6111345596;
DAR;6112551553;
DARBUD;6111806092;
BUD-DACH;6111897893;
Usługi Remontowo-Budowlane G&D Home;6110003221;
DARK ESTRELLA;6112681847;
DAR-MAR;6112317544;
DAR-POL TRANSPORT-HOTELARSTWO;6111012133;
D-A-S;6161378818;
DASAVEMED;6111346874;
BRONZEL;6462339523;
HomeExpert;6112610451;
GABINET KOSMETYCZNY;8411217716;
DORADO;6112299088;
ZŁOTA RĄCZKA;6111444795;
RAT.-MED;6111179554;
DECOCO FUH;1231148631;
DECOR4YOU;6112161622;
DEKARSTWO BLACHARSTWO;6112579669;
DEKORA;6110200453;
DELIKATESY SAS;7591180605;
HASTER AGENCJA REKLAMOWA;6111009177;
Design;6112813898;
DEX;6111741300;
F.U.H.;6161426049;
DIAGNOSTYKA OBRAZOWA;6112817548;
Diagnoza i Terapia Logopedyczna i Pedagogiczna;6111127422;
CREDO;6112081254;
DIGAN;6112240126;
DIMGS;6112461821;
DINER FIRMA HANDLOWA;6111072023;
DIVEMED;6111828107;
DIVERSO USŁUGI;6112384262;
DJPS 3.0;6112719136;
DJ'S SOUND SYSTEM;6111619757;
DK;6111408799;
D-K Engineering;6112384115;
AMERICAN.PL;6131029697;
PROFUS PRACOWNIA PROJEKTOWA;6111043292;
DM-;6111004665;
GLOBAL POINT;6112420118;
DMSOFTWARE -;8172154124;
Dobra kreska;6112330680;
Dobra opieka;6112287228;
TERDO;6112225977;
AGENCJA SPORTOWA BASKET;6111657143;
DOBRY ADRES;6112814366;
Dobry Zarządca.;6111530365;
COMPUTER SERVICE;6111094639;
FIRMA HANDLOWO-USŁUGOWA NETCOM SYSTEMY TELEINFORMATYCZNE;6112255352;
JARO;6110100361;
DZIECIĘCA KRAINA;6111043665;
SOLO PRZEDSIĘBIORSTWO PRODUKCYJNO-HANDLOWO-USŁUGOWE;6111017981;
DOMIKKO USŁUGI OGÓLNOBUDOWLANE I INSTALACYJNE;6111381209;
IMPORT-EKSPORT EAST;6112503554;
- Ekspert Finansowy;6112817560;
COLOROWE APARTAMENTY;5981471019;
BHP PARTNER;6121603315;
EVENT DESIGNER & FLORIST;6112273321;
lek. dent. DOMIDENT;7361718892;
DOMOST PRACOWNIA USŁUG BUDOWLANYCH;6111019520;
DORABIANIE KLUCZY;6111488864;
DORABIANIE KLUCZY, OSTRZENIE NOŻY KUCHENNYCH, NOŻYCZEK I NOŻY Z SITKAMI OD MASZYNEK DO MIĘSA;6111025360;
DORADCA RESTRUKTURYZACYJNY;6141221019;
DORADZTWO HANDLOWE PROFESSMAR;6112409849;
DORADZTWO I RESTRUKTURYZACJA;8731234053;
DORADZTWO RESTRUKTURYZACYJNE;6111590278;
DORADZTWO TECHNICZNE PE INSTALATORSTWO ELEKTRYCZNE;6112097798;
DORADZTWO UBEZPIECZENIOWO - FINANSOWE;6111787590;
DORNET SYSTEMY TELEKOMUNIKACYJNE;6111841214;
NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ SPECJALISTA;6111546627;
- GABINET PEDIATRYCZNY I ALERGOLOGICZNY (PRAKTYKA LEKARSKA SPECJALISTYCZNA);6111026247;
Kosmetologia Holistyczna;6112624281;
HANDEL HURTOWY I DETALICZNY, SKLEP CIUCH;6131013696;
DOZÓR PLUS;6112645662;
DP Consulting;6112801079;
DR TOMSON PROFESJONALNA AUTO-KOSMETYKA;6111374936;
AGENT UBEZPIECZENIOWY;6111079887;
DREAM CARS;6112170147;
Dream Homes;8751090427;
DROGERIA ELA ELŻBIETA ANNA GÓRAK;6112214755;
DRUKARNIA EXPRESS;6112275797;
Drukarnia Wielkoformatowa KAW;6111064667;
DTH DORADZTWO TECHNICZNO-HANDLOWE inż.;6111519777;
ZAKŁAD USŁUGOWY FELIX;6111644301;
PRZEDSIĘBIORSTWO HANDLOWO-USŁUGOWE DUKO PLUS;6111715225;
RADOSŁAW DUDA - KARAD;6111367155;
TAXI OSOBOWE Nr 159;6111031840;
DUO;6111058342;
FIRMA HANDLOWO-USŁUGOWA;6111006635;
DURO-DENT PRACOWNIA PROTETYKI DENTYSTYCZNEJ;8981483314;
ENGLISH CENTRE - CENTRUM JĘZYKÓW OBCYCH;6111296024;
PIONIER MEBLE;6110001044;
DREW-HURT;6111042074;
DYDAKTYKA -;6111475904;
STUDIO-VIDEO-FILM;6111534854;
ZAKŁAD OBROTU TOWAROWEGO IRBA HURTOWNIA PAPIEROSÓW;6111165598;
P.P.H.U.;6111069825;
PERFECT PRZEDSIĘBIORSTWO HANDLOWO-USŁUGOWE;6111738841;
FIRMA USŁUGOWO-HANDLOWA;6111439794;
DZIAŁALNOŚĆ USŁUGOWO - HANDLOWA;6111432941;
BAR UNIWERSALNY TALAR;6112101034;
F.H.U IMPORT-EKSPORT INTERMAG;6111295510;
DKB - DOLNOŚLĄSKA KANCELARIA BROKERSKA;6111039066;
FIRMA MD;6111015723;
PROMYK;6112607058;
DZIEŃ DOBRY;6112645403;
Firma I: USŁUGI GEODEZYJNO-KARTOGRAFICZNE TOMASZ DZIEWIĄTKA Firma II: AZYMUT S.C. USŁUGI GEODEZYJNE I KARTOGRA;8841786316;
BIURO RACHUNKOWE;6111574629;
FIRMA HANDLOWA;6111501719;
HANDEL OBWOŹNY;6111006003;
DZIUPLA;6112250722;
MECHANIKA POJAZDOWA;6111623285;
E.I.T ZAKŁAD PRODUKCYJNO-USŁUGOWY;6110004953;
E.T.;6111722136;
e-BERNARDI;6111133670;
E-BIKE RENTAL SUDETY;6111236973;
ECONOMICO;6112632576;
EDGE;6112815845;
- TŁUMACZENIA I NAUKA JĘZYKA FRANCUSKIEGO;9241398204;
FHU AGD,RTV MALUSZEK-SANDRA;6110152079;
EIWELL -;9161361127;
EKOINSTAL;6111534274;
Ekologia;6110101277;
EKO-NAFT PRACOWNIA GEOLOGII i OCHRONY ŚRODOWISKA;6111055289;
EKOTERM TECHNIKA GRZEWCZA I SANITARNA;7731878206;
Ekspert Księgowości;6112531013;
ELAATER TERAPIA I EDUKACJA;6111024308;
ELBAD Elektryka;6112809767;
EL-DOMO;6112564403;
ELEKTIN;6112675717;
ELEKTROGRAB;6112716882;
ELEKTROMECHANIKA DARIUSZ KACZOREK, NAPRAWA SPRZĘTU AGD;6111154985;
ELEKTROPIOTR;6112688588;
ELEKTROPLUS;6111744304;
ELEMB PROJEKT;6112461235;
HOLISTIC;6793117615;
ELGAB;6110100674;
ELINTEX POLSKA;6111072709;
ELMECH PLUS;6112656269;
ELMECH;6111094993;
EL-PROJECT;6312414571;
EL-SAP;6112527394;
ELWITA;6111818505;
ELZABUD;6112528962;
SALON Fryzjersko-Kosmetyczny NEW-STYLE;6112696866;
EMES;6112801441;
EMIGA;6112405627;
STUDIO KOSMETYCZNE EMILIA;6111730259;
EMK;6111799624;
eMKa Biuro Projektowe;6112375292;
EMPIRE OF FOOD;6112622075;
EMS IMPEX;6112682203;
ENBUD Usługi remontowo-budowlane;6112410982;
ENERGO-INSTAL;6111000294;
EngLAmb;6112674712;
English Insights;6112651355;
ENGLISH SUPPORT;6112527158;
ENTER MEBLE - produkcja mebli na wymiar;6112821337;
ENTER-NET;6112318638;
ENVI;6222704986;
EPOXY- PARTNERS;6161363656;
ERES Przedsiębiorstwo Wielobranżowe;6111281382;
ERGONOMIKA;6111561064;
ERYOT;6112302761;
Eskapada;6112527230;
ESTATE;6112511720;
Esterglass;6112509775;
WOJCIECH;6112291833;
EURO TAXI;6161566187;
EUROHIT MEDIA;6111129415;
EUROTECHNIKA;6111623345;
Evelashes;6112230263;
EVERY SKY;6631593892;
BUTIK NR 5;6111205895;
Prywatna Praktyka Lekarska;5992408846;
USŁUGI BIUROWE;6112463487;
SPECJALISTYCZNA PRAKTYKA PIELĘGNIARSKA;6111086924;
KONCEPT HANDEL I USŁUGI;6112524651;
Tex;6112217854;
- EDU;6111786099;
Ewal;6112333371;
EW-TAX;6941222291;
EX- BUD;6482261020;
EX DART - OBRAZY BEZ GRANIC;6111085161;
Expert-Bud A.G.;6111829495;
EXPERT-LIFT;6112637800;
Experto BHP;6112815934;
EXPLORE;6112521931;
EXPRES TRANS;6112782821;
F. HANDLOWA MODNA PANI;6111491079;
F.H. EMART;6112146829;
F.H.;6112806705;
F.H. SALONIK PRASOWY;6111799162;
F.H.P.U.;6111028507;
F.H.U. ADC;6111148720;
F.H.U. CHARY SYSTEM EWA CHARUŻYN SKLEP MODESA;6111573558;
F.H.U. IMPULS;6111375522;
F.H.U. JULINA;6112660650;
F.H.U. MACIUŚ;6110006403;
F.H.U. MNIAM MNIAM MANUFAKTURA WYROBÓW KULINARNYCH;6112488961;
F.H.U.;6112493755;
F.H.U. INSTALBUD;6111005311;
F.H.U. J.F.K.;6111593070;
F.H.U.;6111808961;
F.H.U. KOMINOWY ŚWIAT;6112574005;
F.H.U.;7311636235;
F.H.U. SIMO -;6111802912;
F.H.U. TEAM STANISŁAWA KULESZA w spadku;6112026120;
F.H.U.AGA-TEL;6112058143;
F.P.U.H. DRUKARNIA;6111730650;
F.U.H.;6112636077;
F.U.H. HYDROKLIM;6111494190;
FABRYKA FITNES CLUB;6112364087;
FABRYKA PIĘKNA;6112551122;
FACHMANN FIRMA REMONTOWO-BUDOWLANA;6111068079;
ALBI - POL;6112546635;
SPRZEDAŻ HURTOWA MIĘSA I WYROBÓW Z MIĘSA;6112211113;
FASHION SQUARE;7521083328;
FASHION TIME;6112598299;
FEDERICO FLIZ;6112257233;
FENIKS - KANCELARIA RZECZOZNAWCÓW MAJĄTKOWYCH;6111117010;
FENSTER;6111835142;
FERVOR;6112449978;
FH KAROLINA;6111491642;
FHU AlWaRo;6112484638;
FHU KAROLA;6112497256;
FHU ALBERT;6111803768;
FHU;6111039758;
FHU;6112488530;
FHU CARPHOLIC;6112487507;
FHU;6161074679;
FHU DOMA;6111265354;
FHU IMPULS;6111181918;
FHU;6161564917;
FHU;6112711910;
FHU RAVEL;6112781773;
FHU RUDNICKI;6112609525;
FHU SIDOR- SERWIS;6112367878;
FHU;6111588318;
USŁUGI BUDOWLANO-REMONTOWE;6111282648;
FigurOla;6112676390;
SALON FRYZJERSKO - KOSMETYCZNY YOURS;6112417731;
FilBUD;6112783950;
Filigranowe Studio;6112657889;
FiFix;6112825016;
RE & MA TOP COLLECTION;6112197790;
FIRMA HANDLOWA BMKM;6111232099;
UNI - BIURO;6110112128;
FIRMA HANDLOWA;6111049082;
Filmuje.xyz;6111771436;
PRZEDSIĘBIORSTWO HANDLOWE FIT-SPORT;6111602811;
Filozofia Spojrzeń by;6141614055;
FIN2 - EKSPERCI FINANSOWI;6112732585;
FIRMA -;6112408554;
Firma D;6112195325;
FIRMA ELA;6111147235;
FIRMA GIRSA;6111314093;
FIRMA KEM-BUD;6110200849;
FIRMA NOVA MARKET;6111151946;
FIRMA SET;6111651703;
FIRMA TECHMOBIL;6112633570;
Firma 1. ARKAM GROUP ARTUR RENDA Firma 2. ARTUR RENDA WSPÓLNIK SPÓŁKI CYWILNEJ ARKAM;6111085942;
FIRMA 1. JAN ŁYSSY WSPÓLNIK SPÓŁKI CYWILNEJ PRO CORDIS LIBERGAL, ŁYSSY, WYCHOTA FIRMA 2. INDYWIDUALNA SPECJALISTYCZNA PRAKTYKA LEKARSKA (KARDIOLOGICZNA);6111408397;
Firma 1. SNIJERS LECH KACZMAREK Firma 2. LECH KACZMAREK WSPÓLNIK SPÓŁKI CYWILNEJ VASKE;6112229024;
FIRMA 1: AUTO SERVICE PAWEŁ DOMAGAŁA FIRMA 2 PAWEŁ DOMAGAŁA WSPÓLNIK SPÓŁKI CYWILNEJ P.P.H. LOCUST;6111044570;
FIRMA BIOSEKT USŁUGI D.D.D.;6111367706;
Firma Budowlana ŚLIWIŃSKI s.c. Jan Śliwiński,;6112394852;
FIRMA BUDOWLANA DIMA;6112675114;
Firma Budowlana;6112712387;
FIRMA BUDOWLANA;6111323034;
FIRMA BUDOWLANA;6111437298;
FIRMA BUDOWLANO - HANDLOWA TALAGA;6111627780;
FIRMA BUDOWLANO-REMONTOWA ZBYSZKO;6111455652;
FIRMA GASTRONOMICZNO - HANDLOWO - USŁUGOWA TRAMP;6111448333;
FIRMA GEODEZYJNO-KARTOGRAFICZNA;6111566245;
FIRMA HANDLOWA;6112217073;
FIRMA HANDLOWA MARBAR -;6110152725;
FIRMA HANDLOWA ALICJA;6111147554;
FIRMA HANDLOWA JP;6111517198;
FIRMA HANDLOWA MAXIM;6111737037;
FIRMA HANDLOWA MG;6111554087;
FIRMA HANDLOWA STYL;6861106878;
FIRMA HANDLOWA ZUZI;6112353304;
FIRMA HANDLOWA;6141156894;
FIRMA HANDLOWA;6111781512;
FIRMA HANDLOWA;6112459907;
FIRMA HANDLOWA;6111651732;
FIRMA HANDLOWA;6112201161;
FIRMA HANDLOWA;6941539556;
FIRMA HANDLOWA;6111033690;
Firma Handlowa Home Experience;6112814834;
FIRMA HANDLOWA;6111204996;
FIRMA HANDLOWA;6112144635;
FIRMA HANDLOWA;6111255574;
FIRMA HANDLOWA;6111043530;
FIRMA HANDLOWA;6111348241;
FIRMA HANDLOWA;6112544004;
FIRMA HANDLOWA;6111641739;
FIRMA HANDLOWA MAGIC;6112182995;
FIRMA HANDLOWA MECYJKA;6111150912;
FIRMA HANDLOWA RABAT;6110200789;
FIRMA HANDLOWA;6111113584;
FIRMA HANDLOWA;6111126718;
FIRMA HANDLOWA STAWOWSKI;6111240199;
FIRMA HANDLOWA;6111636247;
FIRMA HANDLOWO - USŁUGOWA;6111620281;
FIRMA HANDLOWO - USŁUGOWA;6112352233;
FIRMA HANDLOWO - USŁUGOWA ESTYMA KUCHNIE;6111208095;
FIRMA HANDLOWO - USŁUGOWA FASTBUD;6112466511;
Firma handlowo - usługowa JELWENT.net;6112724806;
FIRMA HANDLOWO - USŁUGOWA PAULA;6112559678;
FIRMA HANDLOWO - USŁUGOWA RUMCAJS;6112370739;
FIRMA HANDLOWO - USŁUGOWA;6112254594;
FIRMA HANDLOWO - USŁUGOWA DEKOBUD;6111966045;
Firma Handlowo - Usługowa EL - TOM;6141127792;
Firma Handlowo - Usługowa EL-TOM;6112271664;
FIRMA HANDLOWO - USŁUGOWA -;6111105604;
FIRMA HANDLOWO - USŁUGOWA;6112066059;
Firma Handlowo - Usługowa Manifaktura;7010101077;
FIRMA HANDLOWO - USŁUGOWA;6112682249;
FIRMA HANDLOWO - USŁUGOWA;6111126629;
FIRMA HANDLOWO - USŁUGOWA RJ;6111807789;
FIRMA HANDLOWO - USŁUGOWA;6111649362;
Firma Handlowo - Usługowa;6111423758;
FIRMA HANDLOWO USŁUGOWA;6112428686;
FIRMA HANDLOWO USŁUGOWA V - UP;6112187188;
FIRMA HANDLOWO USŁUGOWA ANGELMED;6112253933;
Firma Handlowo Usługowa CAL;6112782749;
FIRMA HANDLOWO USŁUGOWA SUTUŁA;6112428278;
FIRMA HANDLOWO USŁUGOWA VICTOR;6111829710;
FIRMA HANDLOWO USŁUGOWA;5532318509;
Firma Handlowo Usługowa;6112507552;
Firma Handlowo Usługowa;6141467683;
FIRMA HANDLOWO USŁUGOWA AUTO-DIAG;7352274243;
Firma Handlowo Usługowa Chary System;6112082839;
Firma Handlowo Usługowa;6112383825;
FIRMA HANDLOWO USŁUGOWA;6151767719;
FIRMA HANDLOWO USŁUGOWA MARCIN POLOWCZYK ZWIERZAK ZOO ART;6112171141;
Firma Handlowo Usługowa;6112419670;
Firma Handlowo Usługowa;6161502744;
Firma handlowo usługowa;6112646897;
FIRMA HANDLOWO-UŁUGOWA;6111734524;
FIRMA HANDLOWO-USŁUGOWA KLEKS;6111878476;
FIRMA HANDLOWO-USŁUGOWA AB;6111623463;
FIRMA HANDLOWO-USŁUGOWA CEZAR,;6111792272;
FIRMA HANDLOWO-USŁUGOWA DAN-TRANS;6112314184;
FIRMA HANDLOWO-USŁUGOWA ELECTRONIC CONTROL;6112195644;
FIRMA HANDLOWO-USŁUGOWA EWELA;6112517786;
FIRMA HANDLOWO-USŁUGOWA IRBUD;6110008247;
FIRMA HANDLOWO-USŁUGOWA JR;6111695190;
FIRMA HANDLOWO-USŁUGOWA MARIO;6111087071;
FIRMA HANDLOWO-USŁUGOWA OLBUD;6112162892;
FIRMA HANDLOWO-USŁUGOWA PAULA;6111134190;
FIRMA HANDLOWO-USŁUGOWA PINK;6961631897;
Firma Handlowo-Usługowa TAD-BUD;6111614518;
FIRMA HANDLOWO-USŁUGOWA TEL-TEX;6111483045;
FIRMA HANDLOWO-USŁUGOWA AD-MAR;6111846648;
FIRMA HANDLOWO-USŁUGOWA;6112278904;
FIRMA HANDLOWO-USŁUGOWA;6112131213;
FIRMA HANDLOWO-USŁUGOWA;6161087535;
FIRMA HANDLOWO-USŁUGOWA B.I.M;6111134184;
FIRMA HANDLOWO-USŁUGOWA;6112731858;
Firma Handlowo-Usługowa;6112805108;
FIRMA HANDLOWO-USŁUGOWA BŁYSK;6112297451;
FIRMA HANDLOWO-USŁUGOWA GRAŻYNA KALINIAK RESTAURACJA RELAX;8831355112;
Firma Handlowo-Usługowa HOL-BUD;6951238626;
FIRMA HANDLOWO-USŁUGOWA INVENIT;6110107831;
FIRMA HANDLOWO-USŁUGOWA IRAKUS;6111531040;
FIRMA HANDLOWO-USŁUGOWA;6111766949;
FIRMA HANDLOWO-USŁUGOWA;6112309817;
Firma Handlowo-Usługowa JUSTIMAR;6111725637;
Firma Handlowo-Usługowa;6112823744;
FIRMA HANDLOWO-USŁUGOWA;6111273141;
FIRMA HANDLOWO-USŁUGOWA;6110101165;
Firma Handlowo-Usługowa;6121664268;
FIRMA HANDLOWO-USŁUGOWA;6112262292;
FIRMA HANDLOWO-USŁUGOWA;6110101248;
FIRMA HANDLOWO-USŁUGOWA;6441004332;
FIRMA HANDLOWO-USŁUGOWA PROCPU;6112407916;
FIRMA HANDLOWO-USŁUGOWA;6111265130;
FIRMA HANDLOWO-USŁUGOWA;6112150699;
FIRMA HANDLOWO-USŁUGOWA TIMM;6111174539;
FIRMA HANDLOWO-USŁUGOWA;6112120273;
FIRMA HANDLOWO-USŁUGOWA;6111149004;
FIRMA HANDLOWO-USŁUGOWO-PRODUKCYJNA BOGDASZEWSKI;6110100094;
FIRMA HH;6110050657;
FIRMA I: BEATA SKRZYDLEWSKA-KACZMAREK SPECJALISTYCZNY GABINET CHORÓB USZU, NOSA, GARDŁA I KRTANI, FIRMA II: BEATA SKRZYDLEWSKA-KACZMAREK WSPÓLNIK SPÓŁKI CYWILNEJ;6111026075;
Firma I: DACH-DEKER TOMASZ CHARŁAMPOWICZ Firma II: TOMASZ CHARŁAMPOWICZ WSPÓLNIK SPÓŁKI CYWILNEJ DACH-DEKER FHU;6110000777;
FIRMA I: PHU DEMPOL KRZYSZTOF DĘBSKI FIRMA II: KRZYSZTOF DĘBSKI Wspólnik Spółki Cywilnej JK CONCEPT;6111005819;
Firma I: PRACOWNIA PROTETYCZNA EWA KARDIS Firma II: EWA KARDIS WSPÓLNIK SPÓŁKI CYWILNEJ PRZYCHODNIA PROTETYCZNO - STOMATOLOGICZNA;6111032549;
FIRMA KRY-CHA;6111225538;
FIRMA MALARSKO USŁUGOWA PAULA;6112734911;
FIRMA OGÓLNOBUDOWLANA - TYNKI MASZYNOWE EFEKT;6112616548;
Firma Ogólnobudowlana TECH-NOV -;6112542494;
FIRMA OGÓLNOBUDOWLANA BUDOPRZEM;6112519845;
FIRMA OGÓLNOBUDOWLANA;6112245980;
FIRMA OGÓLNOBUDOWLANA;6111389441;
FIRMA OGÓLNOBUDOWLANA MAXBUD;6112677395;
Firma Ogólnobudowlana;6112568565;
FIRMA OGÓLNOBUDOWLANA S-DACH PROFI;6922533506;
FIRMA OGÓLNOBUDOWLANA;6111781506;
FIRMA PORZĄDKOWA BŁYSK;6112576470;
FIRMA PORZĄDKOWA JBS;6141002139;
FIRMA PRODUKCYJNO HANDLOWA LADY COUNTRY;6112470234;
FIRMA PRODUKCYJNO HANDLOWO USŁUGOWA SEZAM;6111043688;
FIRMA PRODUKCYJNO-HANDLOWA KORA III;6110100639;
FIRMA PRODUKCYJNO-HANDLOWA;7561231887;
FIRMA PRODUKCYJNO-HANDLOWO-USŁUGOWA ATEKS;6111541268;
FIRMA PRODUKCYJNO-HANDLOWO-USŁUGOWA AQUATICA;6112153901;
FIRMA PRODUKCYJNO-USŁUGOWA;6111137969;
FIRMA PROJEKTOWA MAROS;6111094450;
FIRMA RAPAS;6112288771;
Firma Remontowo Budowlana NORTH HOUSE;6112824985;
FIRMA RUMIN;6111000696;
FIRMA SG SZMACIŃSKA GRAŻYNA AGD-RTV HURT-DETAL;6110151631;
FIRMA SPRZĄTAJĄCA BŁYSK;6111105076;
FIRMA TOP MODA;6112130768;
Firma Transportowo - Usługowa;6161212236;
FIRMA TRANSPORTOWO-HANDLOWA;6111016243;
FIRMA USŁUGOWA -;6111124501;
FIRMA USŁUGOWA ADONIS;9271908443;
FIRMA USŁUGOWA BEPRO;6161044773;
FIRMA USŁUGOWA DUDI;6111488373;
FIRMA USŁUGOWA ECHO;6141178654;
FIRMA USŁUGOWA OLA;6111538987;
FIRMA USŁUGOWA SANITAS mgr;6112153261;
FIRMA USŁUGOWA T-M;6111779432;
FIRMA USŁUGOWA TOM-KO;6111775055;
FIRMA USŁUGOWA WULKAN;6111110019;
FIRMA USŁUGOWA :JAN;6112260672;
FIRMA USŁUGOWA ADAM KUBALA TAXI OSOBOWE;6111059293;
FIRMA USŁUGOWA AGNES;6111839105;
FIRMA USŁUGOWA BALBIN;6111036607;
FIRMA USŁUGOWA;6112141128;
FIRMA USŁUGOWA;6111567150;
Firma Usługowa;6111252914;
FIRMA USŁUGOWA;6141275297;
FIRMA USŁUGOWA;6111475413;
FIRMA USŁUGOWA;6111371814;
FIRMA USŁUGOWA;6112832714;
FIRMA USŁUGOWA;6112085654;
FIRMA USŁUGOWA;6111282565;
Firma Usługowa KARO;6110110655;
FIRMA USŁUGOWA;6112349395;
FIRMA USŁUGOWA;6111075518;
FIRMA USŁUGOWA;6111418496;
FIRMA USŁUGOWA LEX-POL;6111046037;
FIRMA USŁUGOWA ŁUT;6112213750;
FIRMA USŁUGOWA;6111631735;
FIRMA USŁUGOWA;6112477236;
FIRMA USŁUGOWA;6112758254;
FIRMA USŁUGOWA;6112609123;
FIRMA USŁUGOWA;6112474338;
Firma Usługowa Rachunkowe 24;6112336636;
FIRMA USŁUGOWA;6111039600;
FIRMA USŁUGOWA;6111414682;
FIRMA USŁUGOWA;6112716221;
FIRMA USŁUGOWA;6111007333;
FIRMA USŁUGOWA, BT KARPATKA;6112267929;
FIRMA USŁUGOWO - BUDOWLANA DAMAR;6111080761;
FIRMA USŁUGOWO - HANDLOWA;6112410485;
FIRMA USŁUGOWO - HANDLOWA BOSMED;6141103679;
FIRMA USŁUGOWO - HANDLOWA SPEED - BUD POSADZKI BETONOWE;6111478191;
FIRMA USŁUGOWO - HANDLOWA;6112132454;
FIRMA USŁUGOWO HANDLOWA;6941667030;
FIRMA USŁUGOWO HANDLOWA;6110106903;
FIRMA USŁUGOWO-HANDLOWA BEMA;6111508472;
FIRMA USŁUGOWO-HANDLOWA DAMAR;6111634082;
Firma Usługowo-Handlowa;6112405828;
FIRMA USŁUGOWO-HANDLOWA;6111088231;
FIRMA USŁUGOWO-HANDLOWA;6112446566;
FIRMA USŁUGOWO-HANDLOWA;6112269472;
FIRMA USŁUGOWO-HANDLOWA;6111046385;
FIRMA USŁUGOWO-HANDLOWA;6111022456;
Firma Usługowo-Remontowa;6111201242;
FIX IN - WYKOŃCZENIA I REMONTY WNĘTRZ;6112700757;
FIZJO - INTIMA.;8272231700;
FIZJO ACTIV MGR;8862858340;
FIZJO STRENGTH KAMIL GOLIAN FIZJOTERAPIA;6112611309;
FizjoBaby;6112455217;
FIZJO-MED MAREK ONYSZKIEWICZ ZAKŁAD FIZJOTERAPII I TERAPII MANUALNEJ;6112355295;
FIZJOMEDICA;6112493100;
Fizjoprofesja;9282064492;
FIZJOTERAPIA;6112785794;
FIZJOTERAPIA I MASAŻ;6112591357;
Fizjoterapia i Medycyna manualna;6112476573;
FIZJOTERAPIA I TERAPIA MANUALNA AXIS;6111056082;
FIZJOTERAPIA MANUALNA;6112517964;
FIZJOTERAPIA;6112624559;
Fizjoterapia mobilna-;6112612007;
FizjoTerapy;6112809885;
FizjoTonika Grzegorz Oślak - Fizjoterapia i Trening;6121848778;
FJ Store;6112815880;
PRZEDSIĘBIORSTWO HANDLOWO-USŁUGOWE FERRUM;9111030919;
FMV Consulting;6121702017;
FOBED - ZAKŁAD USŁUG STOLARSKICH -;6111459472;
FOGILA;6112800157;
PRZEDSIĘBIORSTWO HANDLOWO-USŁUGOWE ALFIX;6111001997;
FOR IT;6112394800;
FORMICA;6112406880;
FORMICKI - BIKE;6112235898;
